id,opens_at,closes_at,place_id,day_of_week
1,08:00 AM,05:30 PM,1,Monday
2,08:00 AM,05:30 PM,1,Tuesday
3,08:00 AM,05:30 PM,1,Wednesday
4,08:00 AM,05:30 PM,1,Thursday
5,08:00 AM,05:30 PM,1,Friday
6,08:00 AM,05:30 PM,1,Saturday
7,08:00 AM,05:30 PM,1,Sunday
8,08:00 AM,05:30 PM,2,Monday
9,08:00 AM,05:30 PM,2,Tuesday
10,08:00 AM,05:30 PM,2,Wednesday
11,08:00 AM,05:30 PM,2,Thursday
12,08:00 AM,05:30 PM,2,Friday
13,08:00 AM,05:30 PM,2,Saturday
14,08:00 AM,05:30 PM,2,Sunday
15,06:00 AM,07:00 PM,3,Monday
16,06:00 AM,07:00 PM,3,Tuesday
17,06:00 AM,07:00 PM,3,Wednesday
18,06:00 AM,07:00 PM,3,Thursday
19,06:00 AM,07:00 PM,3,Friday
20,06:00 AM,07:00 PM,3,Saturday
21,06:00 AM,07:00 PM,3,Sunday
22,10:00 AM,05:30 PM,4,Monday
23,10:00 AM,05:30 PM,4,Tuesday
24,10:00 AM,05:30 PM,4,Wednesday
25,10:00 AM,05:30 PM,4,Thursday
26,10:00 AM,05:30 PM,4,Friday
27,10:00 AM,05:30 PM,4,Saturday
28,10:00 AM,05:30 PM,4,Sunday
29,06:00 AM,09:00 PM,5,Monday
30,06:00 AM,09:00 PM,5,Tuesday
31,06:00 AM,09:00 PM,5,Wednesday
32,06:00 AM,09:00 PM,5,Thursday
33,06:00 AM,09:00 PM,5,Friday
34,06:00 AM,09:00 PM,5,Saturday
35,06:00 AM,09:00 PM,5,Sunday
36,09:00 AM,09:00 PM,6,Monday
37,09:00 AM,09:00 PM,6,Tuesday
38,09:00 AM,09:00 PM,6,Wednesday
39,09:00 AM,09:00 PM,6,Thursday
40,09:00 AM,09:00 PM,6,Friday
41,09:00 AM,09:00 PM,6,Saturday
42,09:00 AM,09:00 PM,6,Sunday
43,09:00 AM,05:00 PM,7,Monday
44,09:00 AM,05:00 PM,7,Tuesday
45,09:00 AM,05:00 PM,7,Wednesday
46,09:00 AM,05:00 PM,7,Thursday
47,09:00 AM,05:00 PM,7,Friday
48,09:00 AM,05:00 PM,7,Saturday
49,09:00 AM,05:00 PM,7,Sunday
50,07:00 AM,07:00 PM,8,Monday
51,07:00 AM,07:00 PM,8,Tuesday
52,07:00 AM,07:00 PM,8,Wednesday
53,07:00 AM,07:00 PM,8,Thursday
54,07:00 AM,07:00 PM,8,Friday
55,07:00 AM,07:00 PM,8,Saturday
56,07:00 AM,07:00 PM,8,Sunday
57,06:00 AM,06:00 PM,9,Monday
58,06:00 AM,06:00 PM,9,Tuesday
59,06:00 AM,06:00 PM,9,Wednesday
60,06:00 AM,06:00 PM,9,Thursday
61,06:00 AM,06:00 PM,9,Friday
62,06:00 AM,06:00 PM,9,Saturday
63,06:00 AM,06:00 PM,9,Sunday
64,06:00 AM,09:30 PM,10,Monday
65,06:00 AM,09:30 PM,10,Tuesday
66,06:00 AM,09:30 PM,10,Wednesday
67,06:00 AM,09:30 PM,10,Thursday
68,06:00 AM,09:30 PM,10,Friday
69,06:00 AM,09:30 PM,10,Saturday
70,06:00 AM,09:30 PM,10,Sunday
71,12:00 AM,11:59 PM,11,Monday
72,12:00 AM,11:59 PM,11,Tuesday
73,12:00 AM,11:59 PM,11,Wednesday
74,12:00 AM,11:59 PM,11,Thursday
75,12:00 AM,11:59 PM,11,Friday
76,12:00 AM,11:59 PM,11,Saturday
77,12:00 AM,11:59 PM,11,Sunday
78,06:00 AM,08:00 PM,12,Monday
79,06:00 AM,08:00 PM,12,Tuesday
80,06:00 AM,08:00 PM,12,Wednesday
81,06:00 AM,08:00 PM,12,Thursday
82,06:00 AM,08:00 PM,12,Friday
83,06:00 AM,08:00 PM,12,Saturday
84,06:00 AM,08:00 PM,12,Sunday
85,12:00 AM,11:59 PM,13,Monday
86,12:00 AM,11:59 PM,13,Tuesday
87,12:00 AM,11:59 PM,13,Wednesday
88,12:00 AM,11:59 PM,13,Thursday
89,12:00 AM,11:59 PM,13,Friday
90,12:00 AM,11:59 PM,13,Saturday
91,12:00 AM,11:59 PM,13,Sunday
92,06:00 AM,08:00 PM,14,Monday
93,06:00 AM,08:00 PM,14,Tuesday
94,06:00 AM,08:00 PM,14,Wednesday
95,06:00 AM,08:00 PM,14,Thursday
96,06:00 AM,08:00 PM,14,Friday
97,06:00 AM,08:00 PM,14,Saturday
98,06:00 AM,08:00 PM,14,Sunday
99,06:00 AM,07:00 PM,15,Monday
100,06:00 AM,07:00 PM,15,Tuesday
101,06:00 AM,07:00 PM,15,Wednesday
102,06:00 AM,07:00 PM,15,Thursday
103,06:00 AM,07:00 PM,15,Friday
104,06:00 AM,07:00 PM,15,Saturday
105,06:00 AM,07:00 PM,15,Sunday
106,06:00 AM,09:00 PM,16,Monday
107,06:00 AM,09:00 PM,16,Tuesday
108,06:00 AM,09:00 PM,16,Wednesday
109,06:00 AM,09:00 PM,16,Thursday
110,06:00 AM,09:00 PM,16,Friday
111,06:00 AM,09:00 PM,16,Saturday
112,06:00 AM,09:00 PM,16,Sunday
113,06:00 AM,08:00 PM,17,Monday
114,06:00 AM,08:00 PM,17,Tuesday
115,06:00 AM,08:00 PM,17,Wednesday
116,06:00 AM,08:00 PM,17,Thursday
117,06:00 AM,08:00 PM,17,Friday
118,06:00 AM,08:00 PM,17,Saturday
119,06:00 AM,08:00 PM,17,Sunday
120,05:00 AM,09:00 PM,18,Monday
121,05:00 AM,09:00 PM,18,Tuesday
122,05:00 AM,09:00 PM,18,Wednesday
123,05:00 AM,09:00 PM,18,Thursday
124,05:00 AM,09:00 PM,18,Friday
125,05:00 AM,09:00 PM,18,Saturday
126,05:00 AM,09:00 PM,18,Sunday
127,07:00 AM,05:00 PM,19,Monday
128,07:00 AM,05:00 PM,19,Tuesday
129,07:00 AM,05:00 PM,19,Wednesday
130,07:00 AM,05:00 PM,19,Thursday
131,07:00 AM,05:00 PM,19,Friday
132,07:00 AM,05:00 PM,19,Saturday
133,07:00 AM,05:00 PM,19,Sunday
134,06:00 AM,06:00 PM,20,Monday
135,06:00 AM,06:00 PM,20,Tuesday
136,06:00 AM,06:00 PM,20,Wednesday
137,06:00 AM,06:00 PM,20,Thursday
138,06:00 AM,06:00 PM,20,Friday
139,06:00 AM,06:00 PM,20,Saturday
140,06:00 AM,06:00 PM,20,Sunday
141,06:00 AM,07:00 PM,21,Monday
142,06:00 AM,07:00 PM,21,Tuesday
143,06:00 AM,07:00 PM,21,Wednesday
144,06:00 AM,07:00 PM,21,Thursday
145,06:00 AM,07:00 PM,21,Friday
146,06:00 AM,07:00 PM,21,Saturday
147,06:00 AM,07:00 PM,21,Sunday
148,10:00 AM,05:00 PM,22,Monday
149,10:00 AM,05:00 PM,22,Tuesday
150,10:00 AM,05:00 PM,22,Wednesday
151,10:00 AM,05:00 PM,22,Thursday
152,10:00 AM,05:00 PM,22,Friday
153,10:00 AM,05:00 PM,22,Saturday
154,10:00 AM,05:00 PM,22,Sunday
155,05:00 AM,09:00 PM,23,Monday
156,05:00 AM,09:00 PM,23,Tuesday
157,05:00 AM,09:00 PM,23,Wednesday
158,05:00 AM,09:00 PM,23,Thursday
159,05:00 AM,09:00 PM,23,Friday
160,05:00 AM,09:00 PM,23,Saturday
161,05:00 AM,09:00 PM,23,Sunday
162,06:00 AM,08:00 PM,24,Monday
163,06:00 AM,08:00 PM,24,Tuesday
164,06:00 AM,08:00 PM,24,Wednesday
165,06:00 AM,08:00 PM,24,Thursday
166,06:00 AM,08:00 PM,24,Friday
167,06:00 AM,08:00 PM,24,Saturday
168,06:00 AM,08:00 PM,24,Sunday
169,08:00 AM,05:30 PM,25,Monday
170,08:00 AM,05:30 PM,25,Tuesday
171,08:00 AM,05:30 PM,25,Wednesday
172,08:00 AM,05:30 PM,25,Thursday
173,08:00 AM,05:30 PM,25,Friday
174,08:00 AM,05:30 PM,25,Saturday
175,08:00 AM,05:30 PM,25,Sunday
176,12:00 AM,11:59 PM,26,Monday
177,12:00 AM,11:59 PM,26,Tuesday
178,12:00 AM,11:59 PM,26,Wednesday
179,12:00 AM,11:59 PM,26,Thursday
180,12:00 AM,11:59 PM,26,Friday
181,12:00 AM,11:59 PM,26,Saturday
182,12:00 AM,11:59 PM,26,Sunday
183,12:00 AM,11:59 PM,27,Monday
184,12:00 AM,11:59 PM,27,Tuesday
185,12:00 AM,11:59 PM,27,Wednesday
186,12:00 AM,11:59 PM,27,Thursday
187,12:00 AM,11:59 PM,27,Friday
188,12:00 AM,11:59 PM,27,Saturday
189,12:00 AM,11:59 PM,27,Sunday
190,10:00 AM,05:00 PM,28,Monday
191,10:00 AM,05:00 PM,28,Tuesday
192,10:00 AM,05:00 PM,28,Wednesday
193,10:00 AM,05:00 PM,28,Thursday
194,10:00 AM,05:00 PM,28,Friday
195,10:00 AM,05:00 PM,28,Saturday
196,10:00 AM,05:00 PM,28,Sunday
